2353
0.25
0.0,0.0,0.0
47.25,50.25,29.25
13.1417612171,25.5672382671,9.3105337803,1.9339106658
9.3287572254,43.7247109827,26.4096820809,0.8641567102
33.3360849057,3.0365566038,20.6686320755,0.9247459243
37.5846774194,5.4798387097,25.6915322581,0.7733647398
7.1314102564,33.7708333333,11.6474358974,0.8348696466
7.9652864259,37.7261830635,3.8077521793,1.4415033433
34.6483695652,41.4315217391,3.7008152174,1.5083648895
39.864059081,9.7778993435,16.5464989059,1.505078681
18.2179700499,2.0293261231,13.2133943428,1.6489669888
12.4967228464,2.0173220974,27.8019662921,0.9986521148
16.576285521,37.3083558863,16.7298714479,1.4021418491
22.2505574136,11.3947881828,6.6815774805,1.8844499985
5.8151772526,4.4193131462,25.9887370753,1.361779196
25.1978699552,6.2424327354,12.9215246637,1.4929047174
9.2884615385,25.3461538462,28.7307692308,0.4594464726
39.8671875,8.0809659091,25.1448863636,1.0950266614
10.8042888165,15.1365363735,7.8254614549,1.9011089841
44.2593503937,3.6958661417,26.8779527559,1.2374615389
44.3454391892,21.3578265766,21.7378941441,1.4906698268
11.5247747748,2.8667417417,3.3611111111,1.3543634197
43.3577586207,35.7801724138,24.7284482759,0.4764783128
25.2698863636,36.9431818182,1.0994318182,0.6898235705
42.0525362319,8.3768115942,5.1847826087,0.8014384376
14.6075203252,11.7006097561,27.1798780488,1.3188705707
43.1321942446,13.3075539568,2.256294964,1.0121822977
32.387987013,36.9951298701,20.2927489177,0.951585463
30.0515306122,35.9403061224,20.0107142857,0.9704336194
14.8886484687,11.5638592987,4.9540612517,2.5615777053
13.0397727273,23.7840909091,28.7670454545,0.5475133307
26.8881027254,22.0234538784,8.5511006289,1.9235490375
6.2657236523,40.3674720738,6.077646916,1.9730098547
18.8862612613,19.3907657658,1.4335585586,0.7453349134
18.1584829443,37.8093806104,9.7447486535,2.1819872342
7.5496987952,15.2515060241,1.8027108434,0.6765031706
11.7487623762,33.9764851485,17.0841584158,1.1464917324
38.3576078869,44.0402715774,8.767578125,2.1563548355
27.5464945424,18.8124475231,28.4702980688,1.6439214394
25.969224924,44.5041793313,12.1209473151,1.5441264294
36.8957515423,36.738151991,18.938376332,1.8805905667
35.4973684211,24.5960526316,1.2552631579,0.8915827813
